RecordId,ProductName,PartNumber,ListingDescription,CartDescription,LongDescription,RetailPrice,ResellerPrice,DistributorPrice,Size,Weight,CategoryID,SalesLimit,IsShowCSRPrice,IsConsumer,IsActive,IsDomestic,IsRep,BoxCount,BoxWeigth,BoxLength,BoxWidth,BoxHeight,MinimumQty,StateExclusion,UserIDExclusion,CountryExclusion,ItemDiscount,DiscountValue,IntDiscProCode,IntDiscProStartDate,IntDiscProEndDate
130,POP Assembly Kit (Export Only),55,,POP Assembly Kit (Export Only),,0,0,0,,0.600,2,1,1,0,1,0,1,,,,,,,,,0
123,Promotional Kit,67,,Promotional Kit,,0,0,0,,0.200,2,,0,0,1,1,0,,,,,,,,,0
178,Revitalash Discount Item,9045,,Revitalash Discount Item,,-10,-10,-10,,0.660,1,,1,0,1,1,0,,,,,,,,,0
126,Revitalash Export Only,56, ,Revitalash Export Only, ,150,75,39, ,0.100,1,0,0,1,1,0,1,144,12,12,12,12,0, , ,AT10.15TEST01/01/0112/12/12
144,Revitalash Eyelash Conditioner (EU),165,,Revitalash Eyelash Conditioner (EU),,150,75,39,4.1ml/0.139 fl.oz.,0.700,1,,1,1,1,0,0,,,,,,,,,0
143,Revitalash Sample (Export Only),46,,Revitalash Sample (Export Only),,0,0,0,,0.100,2,,0,0,1,0,0,144,12,12,12,12,,,,CA0
127,Revitalash UK Export Only,68,,Revitalash UK Export Only,,150,75,39,,0.100,1,,0,1,1,0,1,,,,,,,,,0
100,Revitalash Advanced,45, ,Revitalash® Eyelash Conditioner, ,150,74,39,4.1ml / 0.139 fl.oz.,0.066,1,0,0,1,1,1,1,144,12,12,12,12,0,CA~TN,35,0
107,Revitalash Sample,46, ,Revitalash® Sample, ,0,0,0, ,0.100,2,0,0,0,1,1,0,,,,,,,CA~TN,,0
119,Thank You Post Cards (25 Pack),60,,Thank You Post Cards (25 Pack),,0,0,0,,0.100,2,,1,0,1,1,1,,,,,,,,,0
134,Thank You Post Cards (25 Pack) (Export Only),60,,Thank You Post Cards (25 Pack) (Export Only),,5,5,5,,0.100,2,,1,0,1,0,1,,,,,,,,,0
182,Tier 1 Intro - INT Distributor,462, ,Tier 1 Intro - INT Distributor, ,0,0,176, ,0.500,1,0,1,0,1,1,0,144,2,2,3,6,,,,0
113,Velvet Bag,52,,Velvet Bag,,0,0,0,,0.100,2,,1,0,1,1,0,144,12,12,12,12,,,,0
139,Velvet Bag (Export Only),52,,Velvet Bag (Export Only),,0,0,0,,0.100,2,,1,0,1,0,0,,,,,,,,,0
140,2008 Holiday Gift Bag Kit-Dom,167,,2008 Holiday Gift Bag Kit-Dom,,150,74,39,,0.400,2,,1,0,0,1,1,,,,,,,,,0
141,2008 Holiday Gift Bag Kit-Intl,168,,2008 Holiday Gift Bag Kit-Intl,,150,75,39,,0.400,2,,1,0,0,0,1,,,,,,,,,0
117,Complimentary Revitalash,58,,Complimentary Revitalash,,0,0,0,,0.100,2,,1,0,0,1,1,,,,,,,,,0
146,Hair Sample Only,193,,Hair Sample Only,,0,0,0,29.58ml/1 fl.oz.,0.150,1,,0,0,0,1,0,,,,,,,,,0
151,Mascara by Revitalash,135,,Mascara by Revitalash,,22,11,0,7.39 ml/.25 fl oz,0.100,1,,1,1,0,1,1,,,,,,,,,0
